id,name,company,type,address,city,postal,state,lat,lon,profile_url
14050,Switch The KEEP Campus - Building 3,Switch,Colocation,1 Switch Way,Lithia Springs,30122,Georgia,33.76035045108249,-84.59128079068275,https://www.datacentermap.com/usa/georgia/atlanta/switch-the-keep-building-3/
14048,Switch Atlanta - The KEEP Campus,Switch,Campus,1 Switch Way,Lithia Springs,30122,Georgia,33.7585771321922,-84.59003413338193,https://www.datacentermap.com/usa/georgia/atlanta/switch-the-keep-campus/
14049,Switch The KEEP Campus - Building 2,Switch,Colocation,1 Switch Way,Lithia Springs,30122,Georgia,33.757025,-84.58944600000001,https://www.datacentermap.com/usa/georgia/atlanta/switch-the-keep-building-2/
14051,Switch The KEEP Campus - Building 4,Switch,Colocation,1 Switch Way,Lithia Springs,30122,Georgia,33.76226181322791,-84.59332610238486,https://www.datacentermap.com/usa/georgia/atlanta/switch-the-keep-building-4/
14449,CleanSpark Washington,CleanSpark,Enterprise,197 Dixie Wood Rd,Washington,30673,Georgia,33.70713094529,-82.75170190339591,https://www.datacentermap.com/usa/georgia/washington-ga/cleanspark-washington/
3265,FOGO Solutions - Atlanta Region,FOGO Solutions,Colocation,340 Tom Reeve Drive,Carrollton,30117,Georgia,33.558856,-85.089087,https://www.datacentermap.com/usa/georgia/carrollton/atlanta-region/
6840,365 Data Centers -  Alpharetta,365 Data Centers,Colocation,11650 Great Oaks Way,Alpharetta,30022,Georgia,34.0576609,-84.2706266,https://www.datacentermap.com/usa/georgia/alpharetta/sungardas-alpharetta/
14010,1650 Union Hill Road,Strategic Datasphere,Datacenter,1650 Union Hill Rd,Alpharetta,30005,Georgia,34.09479503611276,-84.23574006692277,https://www.datacentermap.com/usa/georgia/alpharetta/1650-union-hill-road/
9601,STACK Infrastructure ATL01A,STACK INFRASTRUCTURE,Colocation,3200 Webb Bridge Rd,Alpharetta,30005,Georgia,34.0758701,-84.2641894,https://www.datacentermap.com/usa/georgia/alpharetta/stack-infrastructure-atl01a/
7412,Core Scientific Dalton,Core Scientific,Colocation,2205 Industrial South Rd,"Dalton, GA",30721,Georgia,34.7131193,-84.9514028,https://www.datacentermap.com/usa/georgia/dalton/core-scientific/
14452,CleanSpark Dalton 2,CleanSpark,Enterprise,1850 Abutment Rd,Dalton,30721,Georgia,34.7341275,-84.9629697,https://www.datacentermap.com/usa/georgia/dalton/cleanspark-dalton-2/
14451,CleanSpark Dalton 1,CleanSpark,Enterprise,1022 Enterprise Dr,Dalton,30721,Georgia,34.6985069,-84.9500417,https://www.datacentermap.com/usa/georgia/dalton/cleanspark-dalton-1/
14113,Project Splice,Unknown Company,Campus,Old Nesbit Road & 13th Ave,Cordele,31015,Georgia,31.97154,-83.731085,https://www.datacentermap.com/usa/georgia/columbus-ga/project-splice/
