id,name,company,type,address,city,postal,state,lat,lon,profile_url
1391,Lumen Fresno 2,Lumen,Colocation,7576 N Del Mar Ave,Fresno,93711,California,36.847527,-119.795865,https://www.datacentermap.com/usa/california/fresno/twtc-fresno/
5332,Lumen Fresno 1,Lumen,Colocation,305 W. Napa Ave,Fresno,93706,California,36.747506,-119.8150478,https://www.datacentermap.com/usa/california/fresno/level3-fresno1/
2426,IC2NET Tustin Data Center,"IC2NET, Inc.",Colocation,14351 Myford Rd,Tustin,92780,California,33.716986,-117.802963,https://www.datacentermap.com/usa/california/tustin/ic2net-tustin-data-center/
1464,Lumen Tustin,Lumen,Colocation,14452 Franklin Avenue,Tustin,92780,California,33.717553,-117.806486,https://www.datacentermap.com/usa/california/tustin/level3-tustin/
2223,Astound Mountain View DC,Astound Business,Colocation,1555 Plymouth St,Mountain View,94043,California,37.41552,-122.08199,https://www.datacentermap.com/usa/california/mountain-view/layer42-networks/
2412,Digital West Data Center,Digital West Networks,Colocation,711 Tank Farm Rd,San Luis Obispo,93401,California,35.2481119,-120.6422232,https://www.datacentermap.com/usa/california/san-luis-obispo/sbp1/
8514,H5 Data Centers San Luis Obispo,H5 Data Centers,Colocation,3610 Sacramento Dr.,San Luis Obispo,93401,California,35.2557768,-120.6407522,https://www.datacentermap.com/usa/california/san-luis-obispo/h5-san-luis-obispo/
5460,Lumen San Luis Obispo 1,Lumen,Colocation,775 Capitolio Way,San Luis Obispo,93401,California,35.2567674,-120.6445067,https://www.datacentermap.com/usa/california/san-luis-obispo/level3-san-luis-obispo1/
5461,Lumen San Luis Obispo 2,Lumen,Colocation,254 Granada Drive,San Luis Obispo,93401,California,35.2516942,-120.6674506,https://www.datacentermap.com/usa/california/san-luis-obispo/level3-san-luis-obispo2/
601,Modesto City Tower,"Ayera Technologies, Inc.",Colocation,801 Tenth Street,Modesto,95354,California,37.638732,-120.998752,https://www.datacentermap.com/usa/california/modesto/ayera-city-tower/
5386,Lumen Modesto,Lumen,Colocation,1224 13th Street,Modesto,95354,California,37.645314,-121.0003818,https://www.datacentermap.com/usa/california/modesto/level3-modesto/
986,200 North Nash Street (LAX11),Digital Realty,Colocation,200 North Nash Street,El Segundo,90245,California,33.91773,-118.386525,https://www.datacentermap.com/usa/california/el-segundo/200-north-nash-street/
1040,Equinix LA4,Equinix,Colocation,445 N Douglas St,El Segundo,90245,California,33.9216329,-118.3840239,https://www.datacentermap.com/usa/california/el-segundo/equinix-el-segundo/
