id,name,type,address,city,postal,state,lat,lon,profile_url,meta_power_totalmw,meta_power_ups_redundancy,meta_power_cooling_redundancy,meta_power_standby_redundancy,meta_building_floors,meta_building_floor_load,meta_building_area_building,meta_building_rooftop_access,meta_building_area_whitespace,meta_building_year_operational,meta_capacity_mw_builtout,meta_capacity_buildingsize,meta_capacity_mw_referenced,meta_capacity_whitespace_builtout,meta_capacity_whitespace_referenced,meta_security_cctv,meta_security_staff,meta_security_guards,meta_security_keycard,meta_security_biometric,meta_amenities_meetmeroom,meta_standards_pci,meta_standards_soc2,meta_standards_soc3,meta_standards_hipaa,meta_standards_iso27001,meta_standards_nist80053,meta_standards_usgbc_leed,meta_standards_tier_designed,meta_security_mantrap,meta_security_firesupression,meta_security_firesupression_text,meta_amenities_loadingbay,meta_amenities_officespace,meta_amenities_conferenceroom,meta_standards_soc1,meta_standards_isae3402,meta_building_expandable,meta_building_construction,meta_building_tenancy_text,meta_standards_sas70,meta_standards_ssae16,meta_standards_tier_certified,meta_power_pue,meta_power_billing,meta_power_kw_rack,meta_power_renewable,meta_building_floor_type,meta_building_year_upgraded,meta_building_ceiling_height,meta_security_controlled_perimeter,meta_amenities_wifi,meta_amenities_breakroom,meta_amenities_crashcarts,meta_amenities_parking_text,meta_power_cooling_text,meta_power_standby_text,meta_amenities_loanertools,meta_standards_fisma,meta_standards_iso9001,meta_standards_iso22301,meta_standards_iso50001,meta_building_area_plot,meta_power_kw_area,meta_capacity_mw_live,meta_standards_fedramp,meta_standards_ssae18
1128,Aptum Los Angeles,Colocation,360 E 2nd Street,Los Angeles,90017,California,34.047304,-118.256599,https://www.datacentermap.com/usa/california/los-angeles/peer-1-los-angeles/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,818 West 7th Street,Building,818 West 7th Street,Los Angeles,90017,California,34.049028,-118.259272,https://www.datacentermap.com/usa/california/los-angeles/818-west-7th-street/,,,,,12,,405768,1.0,,1925,,405768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,365 Data Centers - Los Angeles 3,Colocation,900 N. Alameda St,Los Angeles,90012,California,34.0580987,-118.2366037,https://www.datacentermap.com/usa/california/los-angeles/inforelay-lax3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4462,365 Data Centers - Los Angeles 2,Colocation,624 South Grand Ave,Los Angeles,90017,California,34.047966,-118.25557,https://www.datacentermap.com/usa/california/los-angeles/inforelay-lax2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Lumen Los Angeles,Colocation,818 W. 7th Street,Los Angeles,90017,California,34.049028,-118.259272,https://www.datacentermap.com/usa/california/los-angeles/level-3-los-angeles/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Quinby Building,Building,650 South Grand Avenue,Los Angeles,90017,California,34.0473943,-118.2562446,https://www.datacentermap.com/usa/california/los-angeles/quinby-building/,,,,,14,,76760,,32965,1913,,76760.0,,32965.0,32965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7579,Long Beach Data Center,Colocation,3910 E 7th St,Long Beach,90804,California,33.77503987781369,-118.1464901086273,https://www.datacentermap.com/usa/california/los-angeles/long-beach-data-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7415,Hostrunway Los Angeles,Colocation,900 N Alameda St #200,Los Angeles,90012,California,34.0581509,-118.2354169,https://www.datacentermap.com/usa/california/los-angeles/hostrunway-naud/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7807,611 Wilshire,Colocation,611 Wilshire Blvd,Los Angeles,90017,California,34.0482016993191,-118.256031850669,https://www.datacentermap.com/usa/california/los-angeles/611-wilshire/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6925,IHNetworks Datacenter (SFV1),Colocation,20339 Nordhoff Street,Chatsworth,91311,California,34.2325166,-118.5771849,https://www.datacentermap.com/usa/california/los-angeles/ihnetworks-datacenter/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
